,Flow status,Flow date,Decision date,Amount (USD),Source Organization,Source Organization type,Source Location,Source Usage year,Source Field cluster,Source Sector,Destination Organization,Destination Usage year,Destination Organization type,Destination Location,Destination Field cluster,Destination Sector,New money,Last updated,Created,Earmarking,Budget year,Contribution type,Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
113357,Paid Contribution,21/07/2015,21/07/2015,500000,"Kuwait, Government of",Government: National government,Kuwait,2015,,,Kuwait Red Crescent Society,2015,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,04/01/2018,12/10/2015,,2015,financial,Standard,Kuwait Red Crescent Society,,,
113392,Paid Contribution,20/10/2015,20/10/2015,1000000,"United States of America, Government of",Government: National government,United States,2015,,,Office for the Coordination of Humanitarian Affairs,2015,UN agency,Yemen,,Coordination and support services,Yes,19/04/2016,13/10/2015,,2015,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
113529,Paid Contribution,08/06/2015,08/06/2015,250000,"Japan, Government of",Government: National government,Japan,2015,,,International Organization for Migration,2015,UN agency,Yemen,Shelter/NFI/CCCM,Emergency Shelter and NFI,Yes,24/12/2015,20/10/2015,,2015,financial,Standard,International Organization for Migration,,,
113530,Paid Contribution,08/06/2015,08/06/2015,250000,"Japan, Government of",Government: National government,Japan,2015,,,International Organization for Migration,2015,UN agency,Yemen,Protection,Protection,Yes,24/12/2015,20/10/2015,,2015,financial,Standard,"Japan, Government of",,,
113543,Paid Contribution,14/10/2015,14/10/2015,2663164,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2015,,,United Nations High Commissioner for Refugees,2015,UN agency,Yemen,Response Plan for Refugees and Migrants,,Yes,25/11/2015,20/10/2015,,2015,financial,Standard,United Nations High Commissioner for Refugees,,,
113682,Paid Contribution,14/06/2015,14/06/2015,190580,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Education,Yes,15/02/2016,27/10/2015,,2015,financial,Standard,"United Arab Emirates, Government of",,,
113683,Paid Contribution,01/09/2015,01/09/2015,163354,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Education,Yes,14/04/2016,27/10/2015,,2015,financial,Standard,"United Arab Emirates, Government of",,,
113684,Paid Contribution,01/09/2015,01/09/2015,1089028,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Coordination and support services,Yes,14/04/2016,27/10/2015,,2015,financial,Standard,"United Arab Emirates, Government of",,,
113685,Paid Contribution,01/09/2015,01/09/2015,4356112,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Coordination and support services,Yes,14/04/2016,27/10/2015,,2015,financial,Standard,"United Arab Emirates, Government of",,,
113686,Paid Contribution,01/09/2015,01/09/2015,40839,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Agriculture,Yes,21/11/2017,27/10/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
113687,Paid Contribution,01/09/2015,01/09/2015,10890,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Emergency Shelter and NFI,Yes,14/04/2016,27/10/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
113688,Paid Contribution,01/09/2015,01/09/2015,10890,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Emergency Shelter and NFI,Yes,14/04/2016,27/10/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
113689,Paid Contribution,01/09/2015,01/09/2015,40839,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Emergency Shelter and NFI,Yes,14/04/2016,27/10/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
113690,Paid Contribution,01/09/2015,01/09/2015,4084,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Emergency Shelter and NFI,Yes,14/04/2016,27/10/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
113691,Paid Contribution,01/09/2015,01/09/2015,10074,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Early Recovery,Yes,14/04/2016,27/10/2015,,2015,financial,Standard,"United Arab Emirates, Government of",,,
113692,Paid Contribution,01/09/2015,01/09/2015,4628,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Early Recovery,Yes,14/04/2016,27/10/2015,,2015,financial,Standard,"United Arab Emirates, Government of",,,
113693,Paid Contribution,01/09/2015,01/09/2015,4539319,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Early Recovery,Yes,05/01/2016,27/10/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
113698,Paid Contribution,01/09/2015,01/09/2015,14958522,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Food Security,Yes,15/02/2016,27/10/2015,,2015,financial,Standard,"United Arab Emirates, Government of",,,
113736,Paid Contribution,26/10/2015,26/10/2015,136129,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,,Yes,28/10/2015,28/10/2015,,2015,financial,Standard,,,,
113743,Paid Contribution,29/10/2015,29/10/2015,239123,"Denmark, Government of",Government: National government,Denmark,2015,,,United Nations Population Fund,2015,UN agency,Yemen,Health,Health,Yes,29/10/2015,29/10/2015,,2015,financial,Standard,United Nations Population Fund,,,
113744,Paid Contribution,29/10/2015,29/10/2015,602337,"Japan, Government of",Government: National government,Japan,2015,,,United Nations Population Fund,2015,UN agency,Yemen,Health,Health,Yes,29/10/2015,29/10/2015,,2015,financial,Standard,United Nations Population Fund,,,
113745,Paid Contribution,29/10/2015,29/10/2015,3557604,"Germany, Government of",Government: National government,Germany,2015,,,United Nations Population Fund,2015,UN agency,Yemen,Health,Health,Yes,29/10/2015,29/10/2015,,2015,financial,Standard,United Nations Population Fund,,,
113746,Paid Contribution,29/10/2015,29/10/2015,3180401,"Netherlands, Government of",Government: National government,Netherlands,2015,,,United Nations Population Fund,2015,UN agency,Yemen,Health,Health,Yes,29/10/2015,29/10/2015,,2015,financial,Standard,United Nations Population Fund,,,
113761,Paid Contribution,20/10/2015,20/10/2015,2655539,"Canada, Government of",Government: National government,Canada,2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,22/09/2016,30/10/2015,,2015,financial,Standard,"Canada, Government of",,,
113767,Paid Contribution,30/03/2015,20/10/2015,1896813,"Canada, Government of",Government: National government,Canada,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,,,Yes,09/12/2015,30/10/2015,,2015,financial,Standard,"Canada, Government of",,,
113826,Paid Contribution,12/10/2015,12/10/2015,2805836,"Finland, Government of",Government: National government,Finland,2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,23/09/2016,02/11/2015,,2015,financial,Standard,World Food Programme,,,
113870,Paid Contribution,01/12/2015,01/12/2015,1986445,"Sweden, Government of",Government: National government,Sweden,2015,,,Yemen Humanitarian Fund,2015,Pooled fund: Country-based,Yemen,,,Yes,26/05/2016,03/11/2015,softly earmarked,2015,financial,Standard,,,,
113909,Paid Contribution,22/09/2015,22/09/2015,5333333,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,,Yes,04/11/2015,04/11/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
113910,Paid Contribution,22/09/2015,22/09/2015,5333333,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Early Recovery,Yes,04/11/2015,04/11/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
113911,Paid Contribution,22/09/2015,22/09/2015,2666667,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Coordination and support services,Yes,04/11/2015,04/11/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
113912,Paid Contribution,28/09/2015,28/09/2015,8686400,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,International Islamic Relief Organization,2015,NGO: International,Yemen,,,Yes,04/11/2015,04/11/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
113913,Paid Contribution,25/08/2015,25/08/2015,484649,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,Yemeni Social Reform Society,2015,NGO: Local,Yemen,,Food Security,Yes,04/11/2015,04/11/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
113954,Paid Contribution,28/09/2015,28/09/2015,1506932,"Denmark, Government of",Government: National government,Denmark,2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,23/09/2016,05/11/2015,,2015,financial,Standard,"Denmark, Government of",,,
113960,Paid Contribution,04/11/2015,04/11/2015,4587156,"United Kingdom, Government of",Government: National government,United Kingdom,2015,,,Yemen Humanitarian Fund,2015,Pooled fund: Country-based,Yemen,,,Yes,27/11/2015,06/11/2015,softly earmarked,2015,financial,Standard,,,,
113988,Paid Contribution,05/11/2015,05/11/2015,,"Russian Federation, Government of",Government: National government,Russian Federation,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,,Yes,09/11/2015,09/11/2015,,2015,in kind,Standard,"Russian Federation, Government of",,,
113989,Paid Contribution,05/11/2015,05/11/2015,,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,,2015,,Yemen,,,Yes,15/02/2016,09/11/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
114082,Paid Contribution,10/11/2015,10/11/2015,1239157,"Finland, Government of",Government: National government,Finland,2015,,,World Health Organization,2015,UN agency,Yemen,Health,Health,Yes,10/11/2015,10/11/2015,,2015,financial,Standard,World Health Organization,,,
114102,Paid Contribution,25/09/2015,25/09/2015,1078,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,,,Yes,11/11/2015,11/11/2015,,2015,financial,Standard,United Nations Children's Fund,,,
114103,Paid Contribution,30/09/2015,30/09/2015,9918,UNICEF National Committee/Canada,Private organization/foundation: Local/National organization/foundation/individual,,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,,,Yes,11/11/2015,11/11/2015,,2015,financial,Standard,United Nations Children's Fund,,,
114268,Paid Contribution,12/11/2015,12/11/2015,5000000,"Kuwait, Government of",Government: National government,Kuwait,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Health,Yes,04/01/2018,17/11/2015,,2015,financial,Standard,"Kuwait, Government of",,,
114270,Paid Contribution,15/11/2015,15/11/2015,,"Qatar, Government of",Government: National government,Qatar,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,,Yes,17/11/2015,17/11/2015,,2015,in kind,Standard,,,,
114275,Paid Contribution,17/11/2015,17/11/2015,575027,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,,Yes,09/12/2015,17/11/2015,,2015,in kind,Standard,"Saudi Arabia (Kingdom of), Government of",,,
114276,Paid Contribution,17/11/2015,17/11/2015,32800,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Food Security,Yes,09/12/2015,17/11/2015,,2015,in kind,Standard,"Saudi Arabia (Kingdom of), Government of",,,
114277,Paid Contribution,17/11/2015,17/11/2015,105568,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Food Security,Yes,09/12/2015,17/11/2015,,2015,in kind,Standard,"Saudi Arabia (Kingdom of), Government of",,,
114430,Paid Contribution,29/10/2015,29/10/2015,1519047,"Sweden, Government of",Government: National government,Sweden,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,,,Yes,09/12/2015,23/11/2015,,2015,financial,Standard,"Sweden, Government of",,,
114444,Paid Contribution,15/06/2015,15/06/2015,891606,"Norway, Government of",Government: National government,Norway,2015,,,Norwegian Refugee Council,2015,NGO: International,Yemen,Shelter/NFI/CCCM,Emergency Shelter and NFI,Yes,24/11/2015,24/11/2015,,2015,financial,Standard,"Norway, Government of",,,
114475,Paid Contribution,24/11/2015,24/11/2015,337458,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2015,,,United Nations High Commissioner for Refugees,2015,UN agency,Yemen,Response Plan for Refugees and Migrants,,Yes,25/11/2015,25/11/2015,,2015,financial,Standard,United Nations High Commissioner for Refugees,,,
114476,Paid Contribution,24/11/2015,24/11/2015,588512,"Norway, Government of",Government: National government,Norway,2015,,,United Nations High Commissioner for Refugees,2015,UN agency,Yemen,Response Plan for Refugees and Migrants,,Yes,12/02/2016,25/11/2015,,2015,financial,Standard,United Nations High Commissioner for Refugees,,,
114477,Paid Contribution,07/09/2015,07/09/2015,5110056,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,United Nations High Commissioner for Refugees,2015,UN agency,Yemen,Shelter/NFI/CCCM,Emergency Shelter and NFI,Yes,25/11/2015,25/11/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
