,Flow ID,Flow status,Flow date,Decision date,Amount (USD),Original amount,Description,Source Organization,Source Organization type,Source Emergency,Source Location,Source Project,Source Usage year,Source Plan,Source Field cluster,Source Sector,Destination Organization,DestOrgCode,Destination Usage year,DestoOrgCode,Destination Plan,Destination Organization type,Destination Emergency,Destination Location,Destination Project,Destination Field cluster,Destination Sector,Linked parent ID,Linked child ID,New money,Donor project code,Modality,Last updated,Created,Version ID,Earmarking,Budget year,Contribution type,Exchange rate,Original currency,Amount shared on boundary (USD),Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
115586,137871,Paid Contribution,01/09/2015,01/09/2015,5445,20000,"ladies salon project, (YEM-2015-071)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Early Recovery,152933,,Yes,YEM-2015-071,Traditional aid,14/04/2016,12/02/2016,1,,2015,financial,3.673095,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115587,137872,Paid Contribution,08/06/2015,08/06/2015,636428,2337600,"providing 5844 Cartons of food packets, (YEM-2015-057)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,YEM-2015-057,Traditional aid,14/04/2016,12/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115588,137873,Paid Contribution,01/07/2015,01/07/2015,22820057,83818069,"Provision of medical supplies and ambualnce services (part of AED100m pledge to Yemen crisis 2015), (YEM-2015-057)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2015-057,Traditional aid,14/04/2016,12/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115589,137884,Paid Contribution,11/11/2015,11/11/2015,195753,719000,"1200 barrel of diesel (300 tons) shipped by sea, (YEM-2015-045)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,,,2015,,,,,Yemen,,,Emergency Shelter and NFI,,,Yes,YEM-2015-045,Traditional aid,14/04/2016,12/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115590,137887,Paid Contribution,08/06/2015,08/06/2015,8167710,30000000,"Salaries for staff areas Aden electricity for 6 months, and payment of arrears of electricity to run the government and the holding station areas of Aden for a year(Part of the AED 100,000,000 pledge towrds the affected people of yemen crisis in 2015), (YEM-2015-039)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Khalifa Bin Zayed Al Nahyan Foundation,,2015,,,Private organization/foundation: International organization/foundation/individual,,Yemen,,,Coordination and support services,,,Yes,YEM-2015-039,Traditional aid,14/04/2016,12/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115591,137888,Paid Contribution,11/11/2015,11/11/2015,381160,1400000,11 tons of medicines and medical supplies have been distributed to hospitals and health centers in different governorates and the island of Socotra.(YEM-2015-036),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Khalifa Bin Zayed Al Nahyan Foundation,,2015,,,Private organization/foundation: International organization/foundation/individual,,Yemen,,,Health,,,Yes,YEM-2015-036,Traditional aid,14/04/2016,12/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115594,137891,Paid Contribution,25/08/2015,25/08/2015,32670841,120000000,"Rehabilitation and construction of hospitals in Aden, (YEM-2015-022)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2015-022,Traditional aid,14/04/2016,12/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115595,137892,Paid Contribution,09/08/2015,09/08/2015,1715682,6301700,"As a part of humanitarian relief to Yemen Phase #4 ,Sending ship (#3) loaded of 2173 tons of  various humanitarian relief items (food parcels, cartons of water, health kits, diapers children, 2 dialysis device)   (85% food, 10% health, 5% multi items), (YEM-2015-018)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2015-018,Traditional aid,14/04/2016,12/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115596,137893,Paid Contribution,23/06/2015,23/06/2015,667987,2453515,"As a part of humanitarian relief to Yemen Phase #4 ,Sending ship (#2) from the Port Hamriya, loaded of 1468 tons of  various humanitarian relief items (food, water, health packages) , (YEM-2015-014)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,YEM-2015-014,Traditional aid,14/04/2016,12/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115598,137895,Paid Contribution,23/06/2015,23/06/2015,579526,2128600,"As a part of humanitarian relief to Yemen Phase #4 ,Sending ship (#2) from the Port Hamriya, loaded of 1468 tons of  various humanitarian relief items (food, water, health packages)  , (YEM-2015-013)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2015-013,Traditional aid,14/04/2016,12/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115600,137897,Paid Contribution,01/05/2015,01/05/2015,667030,2450000,"As a part of humanitarian relief to Yemen Phase #2 ,Providing 100,000 food parcels (2100) tons from the local market in Yemen and was distributed 
  , (YEM-2015-006)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,YEM-2015-006,Traditional aid,14/04/2016,12/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115601,137898,Paid Contribution,05/08/2015,05/08/2015,21780561,80000000,"rehabilitation of 153 schools  , (YEM-2015-003)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,,,Yes,YEM-2015-003,Traditional aid,14/04/2016,12/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115637,138097,Paid Contribution,21/11/2015,21/11/2015,169007,,Operational Costs,"Kuwait, Government of",Government: National government,,Kuwait,,2015,,,,Kuwait Red Crescent Society,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Coordination and support services,152927,,Yes,,Traditional aid,04/01/2018,19/02/2016,1,,2015,financial,,US Dollar,,Standard,Kuwait Red Crescent Society,,,
115638,138098,Paid Contribution,23/11/2015,23/11/2015,25000,,Youth wings for logistical support Foundation,"Kuwait, Government of",Government: National government,,Kuwait,,2015,,,,Kuwait Red Crescent Society,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Logistics,152927,,Yes,,Traditional aid,04/01/2018,19/02/2016,1,,2015,financial,,US Dollar,,Standard,Kuwait Red Crescent Society,,,
115737,138739,Paid Contribution,01/10/2015,01/10/2015,777341,,"Water and Sanitation in Sanaa, Aden,Taiz, Lahj for 5,517,434 beneficiaries (through King Salman Humanitarian Aid and Relief Center)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,International Medical Corps,,2015,,Yemen 2015,NGO: International,,Yemen,YEM-15/WS/92306/R/5160,WASH,Water Sanitation Hygiene,,,Yes,,Traditional aid,04/03/2016,04/03/2016,1,,2015,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
115738,138741,Paid Contribution,01/12/2015,01/12/2015,31120053,,Health services and medical treatments for the wounded Yemeni people (through King Salman Humanitarian Aid and Relief Center) [Yemen Ministry of Public Health and Population],"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,"Yemen, Government of",,2015,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,04/03/2016,04/03/2016,1,,2015,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
115739,138745,Paid Contribution,01/12/2015,01/12/2015,251529,,"Food and non food items (900 tents, food and blankets) in Marib, Shabwa, Hadramout, Almohra for 36,360 beneficiaries (through King Salman Humanitarian Aid and Relief Center) [KS Relief and Benevolence Coalition for Humanitarian Relief]","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,,,2015,,,,,Yemen,,,,,,Yes,,Traditional aid,04/03/2016,04/03/2016,1,,2015,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
115740,138748,Paid Contribution,01/12/2015,01/12/2015,2850133,,"1000 MTS Food (dates) for the Yemeni people affected by the conflict.
 (through King Salman Humanitarian Aid and Relief Center)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,International Commission for Human Development,,2015,,,NGO: National,,Yemen,,,Food Security,,,Yes,,Traditional aid,04/03/2016,04/03/2016,1,,2015,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
115809,139773,Paid Contribution,21/12/2015,21/12/2015,404808,49669900,Delivery of emergency Relief Items for people affected by the conflicts in Yemen,"Japan, Government of",Government: National government,,Japan,,2015,,,,International Campaign to Abolish Nuclear Weapons (ICAN),,2015,,,NGO: International,,Yemen,,,Emergency Shelter and NFI,,,Yes,,Traditional aid,03/08/2016,31/03/2016,1,,2015,financial,122.6999,Japanese Yen,,Standard,"Japan, Government of",,,
115810,139774,Paid Contribution,10/12/2015,10/12/2015,510934,62691564,Distributing foods and sanitation kits for IDPs and vulnerable locals in Yemen through ADRA Japan.,"Japan, Government of",Government: National government,,Japan,,2015,,,,Adventist Development and Relief Agency,,2015,,Yemen 2015,NGO: International,,Yemen,YEM-15/SNYS/81787/R/6579,,,,,Yes,,Traditional aid,03/08/2016,31/03/2016,1,,2015,financial,122.6999,Japanese Yen,,Standard,"Japan, Government of",,,
115854,140204,Paid Contribution,08/02/2015,08/02/2015,500000,,Medical Program project to aid the wounded events Phase 3,"Qatar, Government of",Government: National government,,Qatar,,2015,,,,Qatar Red Crescent Society,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,,Traditional aid,08/04/2016,08/04/2016,1,,2015,financial,,US Dollar,,Standard,Qatar Red Crescent Society,,,
115938,141566,Paid Contribution,31/12/2015,31/12/2015,135003582,495868157,Economic recovery and   infrastructure rehabilitation projects (YEM-2015-111),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Early Recovery,,,Yes,YEM-2015-111,Traditional aid,04/05/2016,04/05/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115939,141567,Paid Contribution,31/12/2015,31/12/2015,14948605,54906225,Support various infrastructure projects (YEM-2015-109),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Early Recovery,,,Yes,YEM-2015-109,Traditional aid,04/05/2016,04/05/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115940,141568,Paid Contribution,31/12/2015,31/12/2015,816771,3000000,Cash for Work Program (YEM-2015-108),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Early Recovery,,,Yes,YEM-2015-108,Traditional aid,04/05/2016,04/05/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115941,141569,Paid Contribution,31/12/2015,31/12/2015,8167710,30000000,Providing diesel fuel in the various provinces (YEM-2015-107),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Khalifa Bin Zayed Al Nahyan Foundation,,2015,,,Private organization/foundation: International organization/foundation/individual,,Yemen,,,Emergency Shelter and NFI,,,Yes,YEM-2015-107,Traditional aid,04/05/2016,04/05/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115942,141570,Paid Contribution,31/12/2015,31/12/2015,1633542,6000000,"The provision of 12 ambulances in Aden, Lahj, Dalea (YEM-2015-106)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2015-106,Traditional aid,04/05/2016,04/05/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115943,141572,Paid Contribution,31/12/2015,31/12/2015,60713313,223000000,"Providing Vechiles of civilian and cars for transport - water and fuel transport- support of the transport sector in Aden , Souktry , Marib , Hadramout and Mahara (YEM-2015-105)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Emergency Shelter and NFI,,,Yes,YEM-2015-105,Traditional aid,04/05/2016,04/05/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115944,141574,Paid Contribution,31/12/2015,31/12/2015,3647034,13395556,to support  of transport Services and logistics operations - Support and coordination in the province of Marib  (YEM-2015-104),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Logistics,,,Yes,YEM-2015-104,Traditional aid,21/11/2017,04/05/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115945,141575,Paid Contribution,31/12/2015,31/12/2015,2143790,7874140,Provide a diesel power plant in the province of Marib  (YEM-2015-103),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Khalifa Bin Zayed Al Nahyan Foundation,,2015,,,Private organization/foundation: International organization/foundation/individual,,Yemen,,,Emergency Shelter and NFI,,,Yes,YEM-2015-103,Traditional aid,04/05/2016,04/05/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115946,141578,Paid Contribution,31/12/2015,31/12/2015,39899137,146549530,Food distribution in the province of Marib (YEM-2015-102),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,YEM-2015-102,Traditional aid,04/05/2016,04/05/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115948,141581,Paid Contribution,31/12/2015,31/12/2015,5644679,20732906,Cash for Work Program in the province of Marib (YEM-2015-101),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Early Recovery,,,Yes,YEM-2015-101,Traditional aid,04/05/2016,04/05/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
